id,country,age,gender,EDUCATION_LEVEL,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,wtpVal_PPP,taxesExtra_PPP,ticketExtra_PPP,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2,WTP_BD1_PPP,WTP_BD2_PPP,geq_taxes_BD1_PPP,geq_taxes_BD2_PPP,geq_ticket_BD1_PPP,geq_ticket_BD2_PPP
181245292661184,UK,45,Male,University completed,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,Yes,Yes,NA,Yes,Yes,No,NA,575,30,30,1000,50,50,0,No,1,Yes,1,No,0,1,0,575,287.5,30,60,30,60,1000,500,50,100,50,100
181245087160864,UK,67,Male,Secondary completed,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,30,5,NA,50,10,NA,1,DK,1,Yes,NA,NA,NA,1,NA,30,60,5,10,NA,NA,50,100,10,20,NA,NA
181540894027680,UK,59,Male,University completed,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,Yes,NA,Yes,No,NA,Yes,60,30,115,100,50,200,1,No,1,Yes,0,Yes,0,1,1,60,120,30,60,115,57.5,100,200,50,100,200,100
181323431192768,UK,28,Female,Unknown/missing,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,DK,NA,NA,NA,No,NA,NA,NA,60,NA,NA,100,NA,NA,1,No,NA,NA,NA,NA,0,NA,NA,60,120,NA,NA,NA,NA,100,200,NA,NA,NA,NA
181500336220064,UK,74,Male,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,60,NA,NA,100,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,NA,NA,NA,NA,100,200,NA,NA
181377963838496,UK,62,Female,University completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,290,115,NA,500,200,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,290,580,115,230,NA,NA,500,1000,200,400
181385385809792,UK,29,Male,University completed,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,No,Yes,Yes,Yes,NA,NA,575,10,NA,1000,20,NA,NA,0,No,1,Yes,NA,0,1,NA,NA,575,287.5,10,20,NA,NA,1000,500,20,40
181389602280288,UK,40,Female,Secondary completed,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,NA,NA,NA,No,NA,NA,NA,30,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
181309024299584,UK,68,Female,Primary completed,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181431005611296,UK,29,Female,University completed,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,DK,NA,NA,NA,No,NA,NA,NA,115,NA,NA,200,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,115,230,NA,NA,NA,NA,200,400,NA,NA,NA,NA
